# batch      rmse_tst    rmse_trn    rmse_e_tst  rmse_e_trn    rmse_f_tst  rmse_f_trn         lr
   1300      5.84e+00    5.78e+00      3.58e-02    3.56e-02      1.85e-01    1.83e-01    1.0e-03
   1400      5.90e+00    5.64e+00      1.31e-02    1.19e-02      1.87e-01    1.78e-01    1.0e-03
   1500      5.52e+00    5.66e+00      3.31e-02    3.06e-02      1.75e-01    1.79e-01    1.0e-03
   1600      5.51e+00    5.09e+00      2.10e-02    1.91e-02      1.74e-01    1.61e-01    1.0e-03
   1700      6.13e+00    6.06e+00      2.16e-03    1.96e-03      1.94e-01    1.92e-01    1.0e-03
   1800      5.03e+00    4.90e+00      9.82e-03    8.39e-03      1.59e-01    1.55e-01    1.0e-03
   1900      5.96e+00    5.44e+00      2.22e-02    2.43e-02      1.88e-01    1.72e-01    1.0e-03
   2000      4.87e+00    4.66e+00      4.27e-03    1.58e-03      1.54e-01    1.47e-01    1.0e-03
   2100      4.88e+00    4.66e+00      6.83e-03    6.23e-03      1.54e-01    1.47e-01    1.0e-03
   2200      4.76e+00    4.64e+00      3.71e-02    3.76e-02      1.51e-01    1.47e-01    1.0e-03
   2300      4.67e+00    4.56e+00      1.88e-02    2.09e-02      1.48e-01    1.44e-01    1.0e-03
   2400      4.72e+00    4.88e+00      8.15e-03    8.36e-03      1.49e-01    1.54e-01    1.0e-03
   2500      4.50e+00    4.50e+00      7.40e-02    7.49e-02      1.42e-01    1.42e-01    1.0e-03
   2600      4.46e+00    3.79e+00      1.49e-02    1.57e-02      1.41e-01    1.20e-01    1.0e-03
   2700      4.52e+00    3.98e+00      1.74e-03    1.48e-03      1.43e-01    1.26e-01    1.0e-03
   2800      4.33e+00    4.18e+00      2.34e-02    2.53e-02      1.37e-01    1.32e-01    1.0e-03
   2900      4.60e+00    4.70e+00      3.03e-02    3.04e-02      1.45e-01    1.49e-01    1.0e-03
   3000      4.64e+00    4.36e+00      1.44e-02    1.54e-02      1.47e-01    1.38e-01    1.0e-03
   3100      4.16e+00    4.18e+00      1.10e-02    8.67e-03      1.31e-01    1.32e-01    1.0e-03
   3200      5.61e+00    5.41e+00      3.06e-02    2.77e-02      1.78e-01    1.71e-01    1.0e-03
   3300      4.24e+00    4.77e+00      1.09e-02    1.05e-02      1.34e-01    1.51e-01    1.0e-03
